F_oo matrix:
2 4 4
  -2.3487619393889831e+00    1.2836953722228372e-16    0.0000000000000000e+00
   0.0000000000000000e+00    1.2836953722228372e-16   -2.8527074661250351e-01
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
   0.0000000000000000e+00   -2.3487619393889831e+00    1.2836953722228372e-16
   0.0000000000000000e+00    0.0000000000000000e+00    1.2836953722228372e-16
  -2.8527074661250351e-01 
F_ov matrix:
2 4 8
  -5.8026500271424197e-16    9.8866082952255240e-18   -3.3580370161394204e-16
  -2.6020852139652106e-18    0.0000000000000000e+00    0.0000000000000000e+00
   0.0000000000000000e+00    0.0000000000000000e+00    1.4918621893400541e-16
  -2.6694828558385216e-18    3.3263493349477455e-17   -1.6653345369377348e-16
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
   0.0000000000000000e+00    0.0000000000000000e+00   -5.8026500271424197e-16
   9.8866082952255240e-18   -3.3580370161394204e-16   -2.6020852139652106e-18
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
   0.0000000000000000e+00    1.4918621893400541e-16   -2.6694828558385216e-18
   3.3263493349477455e-17   -1.6653345369377348e-16 
F_vv matrix:
2 8 8
   7.8216562708448720e-02   -1.2490162192987944e-17   -6.8448186886540186e-17
  -8.6736173798840355e-19    0.0000000000000000e+00    0.0000000000000000e+00
   0.0000000000000000e+00    0.0000000000000000e+00   -1.2490162192987944e-17
   1.6394134687885550e-01   -6.2372620843261173e-19   -1.0117985513895435e-18
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
   0.0000000000000000e+00   -6.8448186886540186e-17   -6.2372620843261173e-19
   1.6394134640884864e-01    7.8278161110831594e-18    0.0000000000000000e+00
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
  -8.6736173798840355e-19   -1.0117985513895435e-18    7.8278161110831594e-18
   5.4770841243236779e-01    0.0000000000000000e+00    0.0000000000000000e+00
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
   7.8216562708448720e-02   -1.2490162192987944e-17   -6.8448186886540186e-17
  -8.6736173798840355e-19    0.0000000000000000e+00    0.0000000000000000e+00
   0.0000000000000000e+00    0.0000000000000000e+00   -1.2490162192987944e-17
   1.6394134687885550e-01   -6.2372620843261173e-19   -1.0117985513895435e-18
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
   0.0000000000000000e+00   -6.8448186886540186e-17   -6.2372620843261173e-19
   1.6394134640884864e-01    7.8278161110831594e-18    0.0000000000000000e+00
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
  -8.6736173798840355e-19   -1.0117985513895435e-18    7.8278161110831594e-18
   5.4770841243236779e-01 
