f2_oo matrix:
2 2 2
  -7.4290303514622669e-01    0.0000000000000000e+00    0.0000000000000000e+00
  -7.4290303514622669e-01 
f2_ov matrix:
2 2 6
  -3.6276014436223059e-16    2.9019735088098563e-04    1.4615779955190698e-16
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
  -3.6276014436223059e-16    2.9019735088098563e-04    1.4615779955190698e-16

f2_vv matrix:
2 6 6
   3.2087380952998934e-01    3.3791111338731237e-16    5.9141524444849582e-03
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
   3.0048351869244452e-16    6.3994334008842246e-01   -9.1350995285129991e-17
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
   3.4118644726423004e-03   -6.5849146513899604e-17    2.1449197284716832e+00
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
   3.2087380952998934e-01    3.3791111338731237e-16    5.9141524444849582e-03
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
   3.0048351869244452e-16    6.3994334008842246e-01   -9.1350995285129991e-17
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
   3.4118644726423004e-03   -6.5849146513899604e-17    2.1449197284716832e+00

