F_oo matrix:
2 4 4
  -2.3611878805328215e+00    1.0408340855860843e-16    0.0000000000000000e+00
   0.0000000000000000e+00    1.0408340855860843e-16   -2.5010666957123479e-01
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
   0.0000000000000000e+00   -2.3611878805328215e+00    1.0408340855860843e-16
   0.0000000000000000e+00    0.0000000000000000e+00    1.0408340855860843e-16
  -2.5010666957123479e-01 
F_ov matrix:
2 4 8
  -6.6136332521615770e-17   -2.4706683278808512e-16   -2.4135389488715133e-16
   3.3827107781547738e-17    0.0000000000000000e+00    0.0000000000000000e+00
   0.0000000000000000e+00    0.0000000000000000e+00    3.1225022567582528e-17
   7.4660948441871846e-18   -2.6229513502077015e-17    6.9388939039072284e-17
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
   0.0000000000000000e+00    0.0000000000000000e+00   -6.6136332521615770e-17
  -2.4706683278808512e-16   -2.4135389488715133e-16    3.3827107781547738e-17
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
   0.0000000000000000e+00    3.1225022567582528e-17    7.4660948441871846e-18
  -2.6229513502077015e-17    6.9388939039072284e-17 
F_vv matrix:
2 8 8
   7.3279030372346926e-02    1.0205001489934581e-17    7.0222136979888765e-17
  -6.2450045135165055e-17    0.0000000000000000e+00    0.0000000000000000e+00
   0.0000000000000000e+00    0.0000000000000000e+00    1.0205001489934581e-17
   1.6210566775916091e-01   -8.8280085157562639e-17   -8.9178347457663361e-18
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
   0.0000000000000000e+00    7.0222136979888765e-17   -8.8280085157562639e-17
   1.6210566728915413e-01    9.7677063596125152e-18    0.0000000000000000e+00
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
  -6.2450045135165055e-17   -8.9178347457663361e-18    9.7677063596125152e-18
   4.3264516207275705e-01    0.0000000000000000e+00    0.0000000000000000e+00
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
   7.3279030372346926e-02    1.0205001489934581e-17    7.0222136979888765e-17
  -6.2450045135165055e-17    0.0000000000000000e+00    0.0000000000000000e+00
   0.0000000000000000e+00    0.0000000000000000e+00    1.0205001489934581e-17
   1.6210566775916091e-01   -8.8280085157562639e-17   -8.9178347457663361e-18
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
   0.0000000000000000e+00    7.0222136979888765e-17   -8.8280085157562639e-17
   1.6210566728915413e-01    9.7677063596125152e-18    0.0000000000000000e+00
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
  -6.2450045135165055e-17   -8.9178347457663361e-18    9.7677063596125152e-18
   4.3264516207275705e-01 
