f2_oo matrix:
2 2 2
  -5.7891847181392131e-01    0.0000000000000000e+00    0.0000000000000000e+00
  -5.7891847181392131e-01 
f2_ov matrix:
2 2 6
   2.3538460612662427e-16    1.0286821334150385e-03    3.3422819454648252e-16
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
   2.3538460612662427e-16    1.0286821334150385e-03    3.3422819454648252e-16

f2_vv matrix:
2 6 6
   2.1139228597455154e-01    1.1201053410563982e-16   -1.6845053387878089e-02
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
   8.0802999106672652e-17    8.6002399363771975e-01    5.3511087716021303e-16
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
  -9.1429949451706464e-03    5.4265980284606644e-16    1.2464960364187869e+00
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
   2.1139228597455154e-01    1.1201053410563982e-16   -1.6845053387878089e-02
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
   8.0802999106672652e-17    8.6002399363771975e-01    5.3511087716021303e-16
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
  -9.1429949451706464e-03    5.4265980284606644e-16    1.2464960364187869e+00

