f2_oo matrix:
2 2 2
  -7.8986580166481535e-01    0.0000000000000000e+00    0.0000000000000000e+00
  -7.8986580166481535e-01 
f2_ov matrix:
2 2 6
  -5.4646095753307342e-16   -4.4997308256330227e-04   -7.2989866447361514e-16
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
  -5.4646095753307342e-16   -4.4997308256330227e-04   -7.2989866447361514e-16

f2_vv matrix:
2 6 6
   3.3716392105704629e-01   -4.2534583200578102e-16   -4.4244668187793995e-03
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
  -3.8438571645697615e-16    6.0491781728476668e-01   -5.2120676424722380e-16
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
  -2.5283887933473031e-03   -5.0544614683362095e-16    2.5159516193839031e+00
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
   3.3716392105704629e-01   -4.2534583200578102e-16   -4.4244668187793995e-03
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
  -3.8438571645697615e-16    6.0491781728476668e-01   -5.2120676424722380e-16
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
  -2.5283887933473031e-03   -5.0544614683362095e-16    2.5159516193839031e+00

