F_oo matrix:
2 2 2
  -6.8085318888955204e-01    0.0000000000000000e+00    0.0000000000000000e+00
  -6.8085318888955204e-01 
F_ov matrix:
2 2 6
  -3.6429192995512949e-17    2.9143354396410359e-16    8.3483567281383841e-16
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
  -3.6429192995512949e-17    2.9143354396410359e-16    8.3483567281383841e-16

F_vv matrix:
2 6 6
   2.9763624318109982e-01   -1.8041124150158794e-16   -9.0205620750793969e-17
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
  -1.8041124150158794e-16    6.7015857653731026e-01   -2.5500435096859064e-16
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
  -9.0205620750793969e-17   -2.5500435096859064e-16    1.8522632835215487e+00
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
   2.9763624318109982e-01   -1.8041124150158794e-16   -9.0205620750793969e-17
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
  -1.8041124150158794e-16    6.7015857653731026e-01   -2.5500435096859064e-16
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
  -9.0205620750793969e-17   -2.5500435096859064e-16    1.8522632835215487e+00

