f2_oo matrix:
2 4 4
  -2.3571645431124626e+00    2.5629276359371189e-04    0.0000000000000000e+00
   0.0000000000000000e+00   -4.8359555100292414e-04   -2.8800725191985532e-01
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
   0.0000000000000000e+00   -2.3571645431124626e+00    2.5629276359371189e-04
   0.0000000000000000e+00    0.0000000000000000e+00   -4.8359555100292414e-04
  -2.8800725191985532e-01 
f2_ov matrix:
2 4 8
   2.9146696427262500e-05    4.7042828211415010e-18   -4.6688302753350337e-16
   9.3392740194734000e-05    0.0000000000000000e+00    0.0000000000000000e+00
   0.0000000000000000e+00    0.0000000000000000e+00   -6.6281610811690192e-04
   1.4631872376940893e-18   -1.3911797523374288e-17    1.3153851431808308e-03
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
   0.0000000000000000e+00    0.0000000000000000e+00    2.9146696427262500e-05
   4.7042828211415010e-18   -4.6688302753350337e-16    9.3392740194734000e-05
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
   0.0000000000000000e+00   -6.6281610811690192e-04    1.4631872376940893e-18
  -1.3911797523374288e-17    1.3153851431808308e-03 
f2_vv matrix:
2 8 8
   7.9285163536042605e-02   -1.1237606096512831e-17   -1.3765107544532320e-16
  -1.0631149455840179e-02    0.0000000000000000e+00    0.0000000000000000e+00
   0.0000000000000000e+00    0.0000000000000000e+00   -1.0991405841969618e-17
   1.6322516458756814e-01    8.4063108073043944e-17   -6.7326844292107927e-18
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
   0.0000000000000000e+00   -1.3546575114255043e-16    8.4063108073441357e-17
   1.6322516411833612e-01   -6.4860938920728961e-17    0.0000000000000000e+00
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
  -6.5124184009265704e-03   -5.1785399809794276e-18   -5.7821386042420995e-17
   4.7993744928515275e-01    0.0000000000000000e+00    0.0000000000000000e+00
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
   7.9285163536042605e-02   -1.1237606096512831e-17   -1.3765107544532320e-16
  -1.0631149455840179e-02    0.0000000000000000e+00    0.0000000000000000e+00
   0.0000000000000000e+00    0.0000000000000000e+00   -1.0991405841969618e-17
   1.6322516458756814e-01    8.4063108073043944e-17   -6.7326844292107927e-18
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
   0.0000000000000000e+00   -1.3546575114255043e-16    8.4063108073441357e-17
   1.6322516411833612e-01   -6.4860938920728961e-17    0.0000000000000000e+00
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
  -6.5124184009265704e-03   -5.1785399809794276e-18   -5.7821386042420995e-17
   4.7993744928515275e-01 
