F_oo matrix:
2 4 4
  -2.3459736506342357e+00    1.5352302762394743e-16    0.0000000000000000e+00
   0.0000000000000000e+00    1.5352302762394743e-16   -3.0119886410187452e-01
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
   0.0000000000000000e+00   -2.3459736506342357e+00    1.5352302762394743e-16
   0.0000000000000000e+00    0.0000000000000000e+00    1.5352302762394743e-16
  -3.0119886410187452e-01 
F_ov matrix:
2 4 8
  -3.0747973611688906e-16    6.2624921306702542e-18    3.0319976499370279e-16
  -7.0256300777060687e-17    0.0000000000000000e+00    0.0000000000000000e+00
   0.0000000000000000e+00    0.0000000000000000e+00    3.4694469519536142e-17
   3.2947647457878328e-18    3.6219384176358575e-17   -5.5511151231257827e-17
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
   0.0000000000000000e+00    0.0000000000000000e+00   -3.0747973611688906e-16
   6.2624921306702542e-18    3.0319976499370279e-16   -7.0256300777060687e-17
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
   0.0000000000000000e+00    3.4694469519536142e-17    3.2947647457878328e-18
   3.6219384176358575e-17   -5.5511151231257827e-17 
F_vv matrix:
2 8 8
   7.9499514986703795e-02   -1.2066832077421531e-17    6.0032035428674157e-19
   7.9797279894933126e-17    0.0000000000000000e+00    0.0000000000000000e+00
   0.0000000000000000e+00    0.0000000000000000e+00   -1.2066832077421531e-17
   1.6327501814113635e-01   -2.3916264847761065e-17   -3.9901369176456368e-19
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
   0.0000000000000000e+00    6.0032035428674157e-19   -2.3916264847761065e-17
   1.6327501767112962e-01    1.4240485401849662e-17    0.0000000000000000e+00
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
   7.9797279894933126e-17   -3.9901369176456368e-19    1.4240485401849662e-17
   5.9691748086190421e-01    0.0000000000000000e+00    0.0000000000000000e+00
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
   7.9499514986703795e-02   -1.2066832077421531e-17    6.0032035428674157e-19
   7.9797279894933126e-17    0.0000000000000000e+00    0.0000000000000000e+00
   0.0000000000000000e+00    0.0000000000000000e+00   -1.2066832077421531e-17
   1.6327501814113635e-01   -2.3916264847761065e-17   -3.9901369176456368e-19
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
   0.0000000000000000e+00    6.0032035428674157e-19   -2.3916264847761065e-17
   1.6327501767112962e-01    1.4240485401849662e-17    0.0000000000000000e+00
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
   7.9797279894933126e-17   -3.9901369176456368e-19    1.4240485401849662e-17
   5.9691748086190421e-01 
