F_oo matrix:
2 2 2
  -6.0826124451526820e-01    0.0000000000000000e+00    0.0000000000000000e+00
  -6.0826124451526820e-01 
F_ov matrix:
2 2 6
   2.6020852139652106e-16   -3.6082248300317588e-16    1.6479873021779667e-16
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
   2.6020852139652106e-16   -3.6082248300317588e-16    1.6479873021779667e-16

F_vv matrix:
2 6 6
   2.4907291898972533e-01    1.3183898417423734e-16   -2.0816681711721685e-17
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
   1.3183898417423734e-16    7.5568554000437138e-01    1.6653345369377348e-16
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
  -2.0816681711721685e-17    1.6653345369377348e-16    1.4603338576572482e+00
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
   2.4907291898972533e-01    1.3183898417423734e-16   -2.0816681711721685e-17
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
   1.3183898417423734e-16    7.5568554000437138e-01    1.6653345369377348e-16
   0.0000000000000000e+00    0.0000000000000000e+00    0.0000000000000000e+00
  -2.0816681711721685e-17    1.6653345369377348e-16    1.4603338576572482e+00

